Food group,Variable,Value,Commodity
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,Away from home-Total-2017–18,2.36,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,Away from home-Total-2017–18,2.38,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,Away from home-Total-2017–18,2.59,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,1.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,2.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,2.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,2.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,Away from home-Total-2017–18,2.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,Away from home-Total-2017–18,2.18,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,Away from home-Total-2017–18,2.5,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,1.37,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,2.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,2.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,2.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Away from home-Total-2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Away from home-Total-2017–18,0.2,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Away from home-Total-2017–18,2.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Away from home-Total-2017–18,1.52,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Away from home-Total-2017–18,2.36,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,1.58,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,1.91,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,1.79,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,2.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-Restaurant-2017–18,0.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.61,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.96,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.79,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
